user_id,persona,daily_listening_minutes,sessions_per_day,avg_session_minutes,days_active_last_30,skip_rate,ads_skipped_pct,repeat_track_rate,genre_diversity_score,liked_songs_pct,subscription_tenure_months,premium_flag,monthly_revenue,cluster,pca_1,pca_2
USR_002038,Casual Snackers,31.35,2.2,12.1,13,0.384,0.5072,0.5343,0.5369,0.4027,7.1,0,1.37,3,-1.15770230303183,-0.8336636508669832
USR_001979,Habitual Loyalists,239.87,3.66,70.78,21,0.5148,0.7662,0.9046,0.3473,0.7171,23.1,1,6.5,1,1.6012366745234468,2.454428216366522
USR_000856,Exploratory Samplers,102.94,3.43,33.81,9,0.5998,0.3855,0.1693,0.6364,0.2013,13.2,0,1.58,3,-2.1048582038537362,0.19155025431982414
USR_001720,Power Streamers,280.43,8.43,38.17,27,0.4084,1.0,0.5478,0.3951,0.3873,41.0,1,6.5,2,2.2987580712567874,0.9591337866762121
USR_002020,Exploratory Samplers,59.15,3.64,12.68,18,0.4619,0.3534,0.213,0.7825,0.2971,7.8,0,1.78,3,-1.3706922817909504,-1.067845765349789
USR_000135,Habitual Loyalists,78.78,5.44,13.72,21,0.5691,0.6508,0.4622,0.6438,0.4919,51.6,0,1.82,3,0.03747728996284743,-0.8208501488380697
USR_001376,Casual Snackers,37.35,1.97,19.4,12,0.6923,0.2173,0.4096,0.2259,0.3328,1.0,0,2.08,0,-2.6569627124893516,-0.5291208693420194
USR_001712,Exploratory Samplers,118.89,4.77,21.78,15,0.7303,0.4266,0.2547,0.9681,0.3309,11.7,0,1.6,3,-1.063064555160714,-0.5718392797065688
USR_001290,Habitual Loyalists,135.85,2.93,48.7,25,0.4711,0.5965,0.873,0.8134,0.6538,7.6,0,1.82,1,1.1584839975691563,0.8682993660098837
USR_001069,Casual Snackers,54.16,2.29,28.63,15,0.8712,0.3009,0.2489,0.5508,0.2499,7.0,0,1.01,0,-2.6413177768729614,-0.11995251928478169
USR_001710,Exploratory Samplers,62.69,4.38,14.04,15,0.5475,0.402,0.3889,0.9028,0.4052,7.5,0,1.92,3,-0.9031644303928391,-1.0759569520617611
USR_000112,Casual Snackers,65.78,2.07,32.99,12,0.372,0.3963,0.1878,0.1048,0.1426,13.5,0,2.12,0,-2.4892521826200884,0.3878113192435915
USR_001199,Exploratory Samplers,89.99,4.31,24.19,21,0.6618,0.5697,0.0365,0.8762,0.0612,11.6,0,1.8,3,-1.525200217387132,-0.28391684839611186
USR_001511,Casual Snackers,35.2,1.6,20.19,13,0.8706,0.3041,0.0719,0.4021,0.0485,5.6,0,2.0,0,-3.6410926580129477,-0.3636867819439256
USR_001908,Casual Snackers,56.36,2.01,25.88,1,0.7847,0.1942,0.2493,0.243,0.1872,7.0,1,6.5,0,-3.71033271054325,-0.12021335642591309
USR_001790,Casual Snackers,50.49,1.39,36.8,7,0.645,0.4051,0.1496,0.4813,0.2819,7.3,0,1.24,0,-2.806354436620664,0.4500627868588326
USR_000180,Habitual Loyalists,161.29,5.21,34.95,30,0.4608,0.7165,0.754,0.3739,0.549,51.0,1,6.5,1,1.387584886914399,0.45557150458011586
USR_001826,Casual Snackers,20.27,2.78,11.15,6,0.7366,0.3189,0.3351,0.1468,0.2419,1.6,0,1.92,0,-3.1257108629359522,-0.819546537432419
USR_001522,Habitual Loyalists,150.95,7.31,19.62,22,0.2883,0.4283,0.7515,0.7975,0.6043,22.1,0,1.69,1,1.5020716772191984,-0.8971863897271185
USR_001566,Exploratory Samplers,87.01,2.67,32.76,20,0.3251,0.4531,0.2924,0.8151,0.1789,30.5,0,1.19,3,-1.0115252611274832,0.05104317877367909
USR_001011,Habitual Loyalists,149.87,7.6,15.38,30,0.3282,0.5665,0.9262,0.5642,0.6157,23.8,0,1.07,1,2.1576590702320844,-0.9240995397615777
USR_002159,Exploratory Samplers,79.02,4.97,17.97,11,0.4639,0.2588,0.2,0.3603,0.1537,22.5,0,1.01,0,-2.146922939915339,-0.7202412657527008
USR_001026,Exploratory Samplers,61.43,3.98,14.31,16,0.2806,0.1464,0.5054,0.6576,0.4773,11.9,1,6.5,3,-0.8333709702333234,-1.2323955935154636
USR_002153,Habitual Loyalists,106.83,4.96,22.91,23,0.4162,0.4287,0.5696,0.3474,0.3996,33.3,1,6.5,1,-0.17507803926287227,-0.39821748984475164
USR_001353,Exploratory Samplers,129.7,3.86,31.28,29,0.6901,0.4412,0.6933,0.9435,0.5659,16.9,0,0.98,3,0.5885613717256601,-0.17003705678625147
USR_000528,Power Streamers,224.33,7.81,23.47,27,0.0889,0.91,0.8036,0.2347,0.6723,46.0,1,6.5,2,2.996665196950096,0.0699936858183444
USR_001317,Habitual Loyalists,176.96,6.39,30.64,26,0.6953,0.6874,0.8368,0.8175,0.5742,22.9,1,6.5,1,1.5663731078113363,0.010974967917501504
USR_001740,Habitual Loyalists,144.48,4.96,29.05,28,0.3733,0.5011,0.9324,0.8651,0.577,41.1,0,0.82,1,1.6322741515694286,-0.2941511996156698
USR_001302,Habitual Loyalists,101.91,5.68,18.04,25,0.4783,0.4351,0.9539,0.5656,0.7123,30.0,0,1.03,1,1.1774008857721143,-0.875477973172212
USR_002055,Exploratory Samplers,58.22,3.92,8.48,26,0.3555,0.4003,0.1895,0.5341,0.0,21.3,0,1.1,3,-1.4817942687279415,-1.1185525998303043
USR_001791,Habitual Loyalists,136.99,5.12,24.57,26,0.2778,0.5076,0.8653,0.2398,0.6506,25.2,1,6.5,1,1.2414695448128574,-0.24337773014256264
USR_001117,Casual Snackers,8.75,2.73,3.0,6,0.7268,0.1112,0.2877,0.097,0.1846,6.4,0,1.51,0,-3.707530068798839,-1.375572361418194
USR_002025,Exploratory Samplers,174.68,2.13,77.58,10,0.7809,0.8184,0.3386,0.8377,0.2684,7.4,1,6.5,3,-0.9877656039016423,2.7662474567057647
USR_001197,Casual Snackers,56.95,1.59,29.23,5,0.6727,0.2266,0.1584,0.2322,0.132,10.5,0,1.02,0,-3.602450215867053,0.08816065555781398
USR_001191,Exploratory Samplers,100.45,5.25,27.34,23,0.5836,0.775,0.1203,0.5333,0.1198,12.8,0,1.03,3,-0.8404781820717532,0.12844415158843234
USR_002096,Exploratory Samplers,70.7,3.31,22.16,13,0.2479,0.1839,0.3637,0.8971,0.3743,18.7,0,1.54,3,-1.1203970810528778,-0.8359523714427803
USR_000219,Power Streamers,166.71,7.9,18.91,30,0.2281,0.5937,0.8545,0.4598,0.6282,37.3,0,1.12,1,2.3201045436569956,-0.6800327333102874
USR_000464,Exploratory Samplers,76.45,3.23,18.67,29,0.4849,0.3353,0.331,0.7891,0.2765,10.1,1,6.5,3,-0.7684822302294192,-0.7945564428461175
USR_000519,Casual Snackers,45.73,2.91,17.28,13,0.7738,0.4161,0.2316,0.091,0.277,9.0,0,0.97,0,-2.678318463033463,-0.389825175989311
USR_000975,Exploratory Samplers,91.39,4.98,18.29,16,0.4205,0.3643,0.261,0.9836,0.2541,18.8,1,6.5,3,-0.8820237743380002,-0.9148869481252919
USR_000446,Habitual Loyalists,207.14,6.21,30.03,28,0.5858,0.6383,0.8298,0.6004,0.6645,15.2,0,1.16,1,1.8537116179179327,0.08533463918921323
USR_001303,Habitual Loyalists,117.57,6.57,18.66,21,0.2052,0.266,0.9069,0.4751,0.85,29.4,0,1.91,1,1.4500311480342742,-1.0363923623883888
USR_000765,Power Streamers,251.51,6.98,35.97,26,0.1006,0.7534,0.6649,0.7506,0.4321,40.6,1,6.5,2,2.46312587765491,0.4418401555115726
USR_000576,Habitual Loyalists,148.6,5.33,32.08,26,0.3577,0.6535,0.848,0.7017,0.6457,21.3,1,6.5,1,1.7608415587951434,0.04950874006589904
USR_000057,Exploratory Samplers,102.77,2.48,40.88,10,0.51,0.5055,0.5844,0.8767,0.4386,15.5,1,6.5,3,-0.7048757427165401,0.4870108512151483
USR_001118,Power Streamers,255.44,8.75,22.86,30,0.104,0.6593,0.6589,0.757,0.5176,29.1,1,6.5,2,2.937136761290467,-0.4031128781210617
USR_002015,Exploratory Samplers,132.17,4.08,23.48,11,0.4502,0.5286,0.4285,0.9391,0.3373,18.1,1,6.5,3,-0.4859340092305733,-0.34114729784405845
USR_002133,Power Streamers,193.0,7.42,28.17,29,0.0176,0.9266,0.7308,0.6674,0.6693,40.6,1,6.5,2,3.226471313999534,0.04343015719845769
USR_002253,Exploratory Samplers,101.56,3.46,28.97,25,0.3921,0.2915,0.4492,0.8216,0.3392,16.2,0,2.12,3,-0.4317551463707459,-0.35904929075770126
USR_001106,Habitual Loyalists,204.62,5.96,33.72,25,0.4755,1.0,0.619,0.5761,0.6378,21.7,1,6.5,2,2.040243137225592,0.6459880208446278
USR_001092,Habitual Loyalists,177.86,5.52,34.38,26,0.3646,0.6626,0.9017,0.4349,0.6372,29.2,1,6.5,1,1.7951701695631326,0.33910346185866674
USR_001674,Casual Snackers,20.34,2.47,5.68,10,0.687,0.1295,0.0604,0.2828,0.0871,9.4,0,1.52,0,-3.762073929681495,-1.2556902526490967
USR_000423,Casual Snackers,16.29,2.33,3.0,12,0.6837,0.0047,0.3227,0.6121,0.4632,14.1,1,6.5,0,-2.6173341763826343,-1.7486048718801723
USR_001823,Habitual Loyalists,189.17,5.56,33.94,29,0.2413,0.6875,0.857,0.3305,0.6438,35.6,1,6.5,1,2.088957429412182,0.38915909526558007
USR_001943,Exploratory Samplers,88.42,4.39,16.37,12,0.1978,0.641,0.5243,0.9887,0.3576,12.2,0,1.6,3,0.14527673220264883,-0.7633569787463204
USR_002277,Habitual Loyalists,192.62,4.65,49.62,21,0.4019,0.6264,0.8334,0.5755,0.5142,53.4,0,2.07,1,1.1798069690942188,1.089594376258417
USR_002351,Casual Snackers,34.48,1.95,5.53,5,0.7996,0.3089,0.3504,0.4228,0.27,7.6,0,1.82,0,-3.050450435374392,-1.107772008337814
USR_001436,Power Streamers,196.95,9.89,21.3,29,0.1519,0.636,0.4281,0.6234,0.318,45.6,1,6.5,2,1.8859024014520354,-0.5937734156697894
